date,symbol,direction,direction_label,summary_reason
2026-01-02,TSLA,1,買,"Despite slowing Q4 automotive deliveries, TSLA's stock price increased due to record energy storage deployments and growing investor focus on long-term catalysts such as autonomy, AI, and robotaxis."
2026-01-05,TSLA,-1,賣,"Tesla's stock experienced a price drop of $18.71 on the next trading day driven by short-term pressure from slowing automotive momentum, highlighted by a 16% drop in Q4 vehicle deliveries, recent consecutive days of share price drifting, and valuation concerns offset by long-term potential in energy storage and CyberCab scaling."
2026-01-06,TSLA,-1,賣,"Tesla's stock price experienced a short-term decline primarily driven by weak Q4 automotive delivery numbers, falling average selling prices, increasing competitive pressure, and fading market momentum surrounding Robotaxi and autonomous technology execution, despite long-term expectations for energy storage and CyberCab scaling."
2026-01-07,TSLA,1,買,"Tesla's stock price rose due to upbeat analyst sentiment from firms like Wedbush and Baird, along with strong long-term growth catalysts in energy storage deployments, AI, and CyberCab production scaling offsetting short-term delivery concerns."
2026-01-08,TSLA,1,買,"Tesla's stock price increased due to strong underlying momentum from solid Q3 earnings results, record energy storage deployments, and sustained investor focus on long-term AI, autonomy, and EV technology growth drivers despite short-term market volatility."
2026-01-09,TSLA,1,買,
2026-01-12,TSLA,-1,賣,
2026-01-13,TSLA,-1,賣,
2026-01-14,TSLA,-1,賣,
2026-01-15,TSLA,-1,賣,
2026-01-16,TSLA,-1,賣,
2026-01-20,TSLA,1,買,
